Local Collections: ['ram', 'complaints', 'components', 'saved_builds', 'motherboards', 'gpus', 'group_projects', 'settings', 'cpus', 'coolers', 'shopping_cache', 'cases', 'ai_cache', 'group_builds', 'users', 'psu', 'storage']
Atlas Collections: ['components', 'users']
Collection 'ram': Local=3512, Atlas=0
Collection 'complaints': Local=1, Atlas=0
Collection 'components': Local=28540, Atlas=28548
Collection 'saved_builds': Local=27, Atlas=0
Collection 'motherboards': Local=4974, Atlas=0
Collection 'gpus': Local=3596, Atlas=0
Collection 'group_projects': Local=1, Atlas=0
Collection 'settings': Local=3, Atlas=0
Collection 'cpus': Local=962, Atlas=0
Collection 'coolers': Local=2338, Atlas=0
Collection 'shopping_cache': Local=39, Atlas=0
Collection 'cases': Local=4218, Atlas=0
Collection 'ai_cache': Local=0, Atlas=0
Collection 'group_builds': Local=10, Atlas=0
Collection 'users': Local=2, Atlas=2
Collection 'psu': Local=2147, Atlas=0
Collection 'storage': Local=1896, Atlas=0
