
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         NT AUTHORITY\SYSTEM                                    23:50:09 N/A                                                                     
System                           4 Services                   0        128 K Unknown         N/A                                                     0:49:32 N/A                                                                     
Secure System                   92 Services                   0     39,804 K Unknown         N/A                                                     0:00:00 N/A                                                                     
Registry                       136 Services                   0      2,860 K Unknown         N/A                                                     0:00:02 N/A                                                                     
smss.exe                       528 Services                   0          4 K Unknown         N/A                                                     0:00:00 N/A                                                                     
csrss.exe                      860 Services                   0        916 K Unknown         N/A                                                     0:00:04 N/A                                                                     
wininit.exe                    944 Services                   0        456 K Unknown         N/A                                                     0:00:00 N/A                                                                     
services.exe                   660 Services                   0      3,608 K Unknown         N/A                                                     0:00:36 N/A                                                                     
LsaIso.exe                     652 Services                   0          4 K Unknown         N/A                                                     0:00:00 N/A                                                                     
lsass.exe                      788 Services                   0      9,180 K Unknown         N/A                                                     0:02:03 N/A                                                                     
svchost.exe                   1120 Services                   0     10,524 K Unknown         N/A                                                     0:01:26 N/A                                                                     
fontdrvhost.exe               1136 Services                   0          8 K Unknown         N/A                                                     0:00:00 N/A                                                                     
WUDFHost.exe                  1236 Services                   0        180 K Unknown         N/A                                                     0:00:02 N/A                                                                     
svchost.exe                   1288 Services                   0     13,412 K Unknown         N/A                                                     0:05:34 N/A                                                                     
svchost.exe                   1340 Services                   0      2,276 K Unknown         N/A                                                     0:00:04 N/A                                                                     
WUDFHost.exe                  1460 Services                   0          N/A Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1576 Services                   0        472 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1588 Services                   0        668 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1596 Services                   0        472 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1676 Services                   0      2,488 K Unknown         N/A                                                     0:00:05 N/A                                                                     
svchost.exe                   1792 Services                   0        752 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1812 Services                   0        508 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1820 Services                   0      1,392 K Unknown         N/A                                                     0:00:10 N/A                                                                     
svchost.exe                   1828 Services                   0      2,880 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   1912 Services                   0      1,696 K Unknown         N/A                                                     0:00:07 N/A                                                                     
svchost.exe                   1980 Services                   0      2,612 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   1988 Services                   0        956 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1056 Services                   0      4,364 K Unknown         N/A                                                     0:01:37 N/A                                                                     
svchost.exe                    588 Services                   0        440 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                    512 Services                   0        456 K Unknown         N/A                                                     0:00:00 N/A                                                                     
IntelCpHDCPSvc.exe            2132 Services                   0          N/A Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2196 Services                   0        484 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2212 Services                   0      3,004 K Unknown         N/A                                                     0:00:10 N/A                                                                     
svchost.exe                   2308 Services                   0      7,256 K Unknown         N/A                                                     0:00:40 N/A                                                                     
svchost.exe                   2316 Services                   0      1,552 K Unknown         N/A                                                     0:00:03 N/A                                                                     
svchost.exe                   2372 Services                   0        440 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2396 Services                   0      1,864 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2676 Services                   0      3,012 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2740 Services                   0      2,400 K Unknown         N/A                                                     0:00:10 N/A                                                                     
svchost.exe                   2752 Services                   0      1,660 K Unknown         N/A                                                     0:00:00 N/A                                                                     
igfxCUIServiceN.exe           2952 Services                   0        132 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1944 Services                   0        720 K Unknown         N/A                                                     0:00:02 N/A                                                                     
svchost.exe                   3196 Services                   0        904 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   3240 Services                   0      2,532 K Unknown         N/A                                                     0:00:06 N/A                                                                     
svchost.exe                   3276 Services                   0      2,116 K Unknown         N/A                                                     0:00:11 N/A                                                                     
svchost.exe                   3296 Services                   0      1,684 K Unknown         N/A                                                     0:01:27 N/A                                                                     
svchost.exe                   3304 Services                   0        868 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   3380 Services                   0        472 K Unknown         N/A                                                     0:00:00 N/A                                                                     
Memory Compression            3388 Services                   0   1,97,940 K Unknown         N/A                                                     0:11:40 N/A                                                                     
svchost.exe                   3396 Services                   0        508 K Unknown         N/A                                                     0:00:02 N/A                                                                     
AppHelperCap.exe              3412 Services                   0      1,496 K Unknown         N/A                                                     0:00:04 N/A                                                                     
DiagsCap.exe                  3440 Services                   0        168 K Unknown         N/A                                                     0:00:02 N/A                                                                     
NetworkCap.exe                3472 Services                   0        184 K Unknown         N/A                                                     0:00:00 N/A                                                                     
TouchpointAnalyticsClient     3488 Services                   0     11,848 K Unknown         N/A                                                     0:00:20 N/A                                                                     
SysInfoCap.exe                3496 Services                   0     12,352 K Unknown         N/A                                                     0:00:22 N/A                                                                     
svchost.exe                   3656 Services                   0      2,380 K Unknown         N/A                                                     0:00:01 N/A                                                                     
